time,total_trades,wins,losses,win_rate,total_pnl
2026-06-21 20:15:14,0,0,0,0,0
2026-06-21 20:15:17,0,0,0,0,0
2026-06-21 20:15:20,0,0,0,0,0
2026-06-21 20:15:24,0,0,0,0,0
2026-06-21 20:15:27,0,0,0,0,0
2026-06-21 20:15:30,0,0,0,0,0
2026-06-21 20:15:34,0,0,0,0,0
2026-06-21 20:15:37,0,0,0,0,0
2026-06-21 20:15:40,0,0,0,0,0
2026-06-21 20:15:44,0,0,0,0,0
2026-06-21 20:15:47,0,0,0,0,0
2026-06-21 20:15:50,0,0,0,0,0
2026-06-21 20:15:54,0,0,0,0,0
2026-06-21 20:15:57,0,0,0,0,0
2026-06-21 20:16:00,0,0,0,0,0
2026-06-21 20:16:04,0,0,0,0,0
2026-06-21 20:16:07,0,0,0,0,0
2026-06-21 20:16:11,0,0,0,0,0
2026-06-21 20:16:14,0,0,0,0,0
2026-06-21 20:16:17,0,0,0,0,0
2026-06-21 20:16:21,0,0,0,0,0
2026-06-21 20:16:24,0,0,0,0,0
2026-06-21 20:16:27,0,0,0,0,0
2026-06-21 20:16:30,0,0,0,0,0
2026-06-21 20:16:34,0,0,0,0,0
2026-06-21 20:16:37,0,0,0,0,0
2026-06-21 20:16:41,0,0,0,0,0
2026-06-21 20:16:44,0,0,0,0,0
2026-06-21 20:16:47,0,0,0,0,0
2026-06-21 20:16:51,0,0,0,0,0
2026-06-21 20:16:54,0,0,0,0,0
2026-06-21 20:16:57,0,0,0,0,0
2026-06-21 20:17:00,0,0,0,0,0
2026-06-21 20:17:04,0,0,0,0,0
2026-06-21 20:17:07,0,0,0,0,0
2026-06-21 20:17:10,0,0,0,0,0
2026-06-21 20:17:14,1,0,1,0.0,-129.99
2026-06-21 20:17:17,1,0,1,0.0,-129.99
2026-06-21 20:17:20,1,0,1,0.0,-129.99
2026-06-21 20:17:24,1,0,1,0.0,-129.99
2026-06-21 20:17:27,1,0,1,0.0,-129.99
2026-06-21 20:17:30,1,0,1,0.0,-129.99
2026-06-21 20:17:34,1,0,1,0.0,-129.99
2026-06-21 20:17:37,1,0,1,0.0,-129.99
2026-06-21 20:17:40,1,0,1,0.0,-129.99
2026-06-21 20:17:44,1,0,1,0.0,-129.99
2026-06-21 20:17:47,1,0,1,0.0,-129.99
2026-06-21 20:17:50,1,0,1,0.0,-129.99
2026-06-21 20:17:54,1,0,1,0.0,-129.99
2026-06-21 20:17:57,1,0,1,0.0,-129.99
2026-06-21 20:18:00,1,0,1,0.0,-129.99
2026-06-21 20:18:04,1,0,1,0.0,-129.99
2026-06-21 20:18:07,1,0,1,0.0,-129.99
2026-06-21 20:18:10,1,0,1,0.0,-129.99
2026-06-21 20:18:14,1,0,1,0.0,-129.99
2026-06-21 20:18:17,1,0,1,0.0,-129.99
2026-06-21 20:18:20,1,0,1,0.0,-129.99
2026-06-21 20:18:24,1,0,1,0.0,-129.99
2026-06-21 20:18:27,1,0,1,0.0,-129.99
2026-06-21 20:18:30,1,0,1,0.0,-129.99
2026-06-21 20:18:34,1,0,1,0.0,-129.99
2026-06-21 20:18:37,1,0,1,0.0,-129.99
2026-06-21 20:18:40,1,0,1,0.0,-129.99
2026-06-21 20:18:44,1,0,1,0.0,-129.99
2026-06-21 20:18:47,1,0,1,0.0,-129.99
2026-06-21 20:18:50,1,0,1,0.0,-129.99
2026-06-21 20:18:54,1,0,1,0.0,-129.99
2026-06-21 20:18:57,1,0,1,0.0,-129.99
2026-06-21 20:19:00,1,0,1,0.0,-129.99
2026-06-21 20:19:04,1,0,1,0.0,-129.99
2026-06-21 20:19:07,1,0,1,0.0,-129.99
2026-06-21 20:19:10,1,0,1,0.0,-129.99
2026-06-21 20:19:14,1,0,1,0.0,-129.99
2026-06-21 20:19:17,1,0,1,0.0,-129.99
2026-06-21 20:19:20,1,0,1,0.0,-129.99
2026-06-21 20:19:24,1,0,1,0.0,-129.99
2026-06-21 20:19:27,1,0,1,0.0,-129.99
2026-06-21 20:19:30,1,0,1,0.0,-129.99
2026-06-21 20:19:34,1,0,1,0.0,-129.99
2026-06-21 20:19:37,1,0,1,0.0,-129.99
2026-06-21 20:19:40,1,0,1,0.0,-129.99
2026-06-21 20:19:44,1,0,1,0.0,-129.99
2026-06-21 20:19:47,1,0,1,0.0,-129.99
2026-06-21 20:19:50,1,0,1,0.0,-129.99
2026-06-21 20:19:54,1,0,1,0.0,-129.99
